Marca temporal,1. Sexo,2. Edad,Edad2,3. Ocupaci�n,Ocupacion Reca,4.1 El funcionamiento mec�nico de las bicicletas (Confiabilidad de los frenos, maniobrabilidad, seguridad, espejos, luces),4.2 El estado de las bicicletas (Limpieza, estado de las ruedas, frenos y asientos),4.3 La comodidad de las bicicletas,5. �Considera que el mantenimiento que reciben las bicicletas es suficiente?,6. �C�mo eval�a el funcionamiento general de las estaciones?,7. �C�mo eval�a la informaci�n general del SBP?,8.1 De bicicletas al momento de su uso,8.2 De lugar al momento de devolver la bicicleta,9. �Considera que los 30 minutos de uso de la bicicleta son suficientes?,1. Escuchar el ruido mec�nico,2. Chequear el historial de viajes mediante la aplicaci�n (APP),3. Pasar la TSC con el lector del totem,Ninguna de las 3,11. �Qu� factores lo motivan a usar el Sistema de Bicicletas P�blicas MI BICI TU BICI?,Otro,12. �Usted cree que utilizar� el Sistema de Bicicletas P�blicas cuando se implemente el pago del uso del mismo?,13. �Qu� modo de transporte utilizaba para realizar los viajes que hace actualmente en bicicleta?,Otro,14. En una escala de 0 a 10 �C�mo valora el grado de utilidad que tiene para usted este servicio?,15. En una escala de 0 a 10 �C�mo eval�a la satisfacci�n general del servicio?,,,,,,
3/9/2016 11:21:38,2. Masculino,30,30,Empleado,,Bueno,Regular,Muy Bueno,99. Ns/Nc,Bueno,Regular,Insuficiente,Suficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 4. Protecci�n del medioambiente,,99. Ns/Nc,1. Colectivo, 6. A pie,,7,7,,,,,,,,,
3/9/2016 11:21:51,2. Masculino,27,27,Empleado Administrativo,,Regular,Bueno,Muy Bueno,2. No,Bueno,Muy Bueno,Insuficiente,Insuficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero,,1. S�,6. A pie,,8,8,,,,,,,,,,,
3/9/2016 11:21:52,2. Masculino,28,28,,,Bueno,Regular,Muy Bueno,99. Ns/Nc,Muy Bueno,Muy Bueno,Insuficiente,Suficiente,2. No,Si,Si,Si,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud,,99. Ns/Nc,1. Colectivo, 4. Taxi / Remis, 6. A pie,,8,8,,,,,,,,
3/9/2016 11:22:04,2. Masculino,27,27,Trabajo en sistemas de informacion. Programador,,Bueno,Bueno,Muy Bueno,1. S�,Muy Bueno,Muy Bueno,Insuficiente,Suficiente,1. S�,Si,Si,No,usa alguna,2. Ahorro de dinero, 3. Salud,,99. Ns/Nc,1. Colectivo,,9,7,,,,,,,,,,,
3/9/2016 11:23:06,1. Femenino,17,17,Estudiante,,Bueno,Regular,Muy Bueno,2. No,Regular,Muy Bueno,Insuficiente,Ns/Nc,2. No,No,Si,No,usa alguna,1. Ahorro de tiempo, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,6. A pie,,8,8,,,,,,,,,
3/9/2016 11:23:59,2. Masculino,25,25,estudiante/trabajador independiente ,,Bueno,Regular,Muy Bueno,2. No,Muy Bueno,Bueno,Suficiente,Suficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 5. Comodidad,,99. Ns/Nc,1. Colectivo, 6. A pie,,10,8,,,,,,,,
3/9/2016 11:24:05,1. Femenino,46,46,Empleada administraci�n,,Regular,Bueno,Bueno,2. No,Bueno,Bueno,Insuficiente,Suficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,1. Colectivo, 6. A pie,,10,7,,,,,,,
3/9/2016 11:24:28,2. Masculino,30,30,Bioingeniero, becario doctoral CONICET,,Muy Bueno,Bueno,Muy Bueno,1. S�,Muy Bueno,Bueno,Insuficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,1. Colectivo, 2. Auto como conductor,,8,6,,,,,,
3/9/2016 11:24:31,1. Femenino,24,24,Estudiante - Pasante,,Muy Bueno,Bueno,Muy Bueno,1. S�,Regular,Bueno,Insuficiente,Insuficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente,,1. S�,1. Colectivo, 4. Taxi / Remis,,10,7,,,,,,,,
3/9/2016 11:24:40,2. Masculino,24,24,Empleado de UNR,,Malo,Bueno,Muy Bueno,2. No,Muy Bueno,Muy Bueno,Insuficiente,Insuficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud,,99. Ns/Nc,1. Colectivo, 4. Taxi / Remis, 6. A pie,,6,6,,,,,,,,
3/9/2016 11:25:21,2. Masculino,43,43,Sistemas,,Regular,Bueno,Bueno,2. No,Bueno,Ns/Nc,Insuficiente,Suficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 5. Comodidad,,99. Ns/Nc,1. Colectivo,,8,7,,,,,,,,,,,
3/9/2016 11:26:09,2. Masculino,33,33,"Seguridad privada 
Estudiante universitario ",,Bueno,Regular,Bueno,2. No,Malo,Bueno,Insuficiente,Suficiente,2. No,Si,No,No,usa alguna,2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente,,2. No,6. A pie,,10,7,,,,,,,,,,
3/9/2016 11:26:24,2. Masculino,35,35,Abogado ,,Regular,Malo,Regular,2. No,Bueno,Regular,Insuficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 5. Comodidad,,99. Ns/Nc,1. Colectivo, 2. Auto como conductor, 4. Taxi / Remis, 6. A pie,,7,5,,,,,,,,
3/9/2016 11:28:13,2. Masculino,50,50,arquitecto,,Bueno,Bueno,Bueno,1. S�,Muy Bueno,Muy Bueno,Suficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,1. Colectivo, 6. A pie,,10,9,,,,,,,,
3/9/2016 11:28:39,2. Masculino,31,31,Programador,,Bueno,Bueno,Bueno,2. No,Regular,Bueno,Insuficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 5. Comodidad,,2. No,1. Colectivo, 6. A pie,,8,6,,,,,,,,
