id,name,origin_lat,origin_lon,destination_lat,destination_lon
2,Bordavere (entre Avellaneda y Salta),-32.933594,-60.677809,-32.933322,-60.6706
3,Avellaneda (entre San Lorenzo y Pte. Perón),-32.936786,-60.678624,-32.957553,-60.683857
4,Av. Pellegrini (entre Balcarce y Necochea),-32.94993,-60.681846,-32.959731,-60.626918
5,Entre Ríos (entre Jujuy y Bv. Seguí),-32.937811,-60.63889,-32.978416,-60.649098
6,Corrientes (entre Jujuy y Bv. 27 de Febrero),-32.937534,-60.640281,-32.966694,-60.647604
7,Alem (entre San Luis y Ayolas),-32.950825,-60.629,-32.978384,-60.635852
8,Necochea (entre Av. Pellegrini y Ayolas),-32.959756,-60.626903,-32.979132,-60.631685
9,Riobamba (entre Alem y Berutti),-32.964695,-60.632387,-32.966168,-60.624244
10,Buenos Aires (entre Córdoba y Bv. 27 de Febrero),-32.947569,-60.632738,-32.968448,-60.637928
11,Bv. 27 de Febrero (entre Av. Francia y Necochea),-32.962584,-60.67092,-32.970018,-60.629437
12,Av. Francia (entre Córdoba y Bv. 27 de Febrero),-32.941492,-60.665658,-32.962568,-60.670932
13,Av. Ovidio Lagos (entre Bv. 27 de Febrero y Av. Uriburu),-32.963365,-60.666735,-32.991329,-60.673416
14,Salta (entre San Nicolás y Av. del Huerto),-32.933312,-60.670632,-32.939403,-60.636908
15,Av. Pte. Perón (entre Av. 27 de Febrero y Av. Ovidio Lagos),-32.958554,-60.691787,-32.955299,-60.664801
16,Bv. Seguí (entre Valparaíso y Bv. Oroño),-32.971174,-60.6901,-32.976362,-60.661773
17,Bv. Seguí (entre Av. Provincias Unidas y Felipe Moré),-32.97105,-60.711477,-32.970431,-60.692672
18,Junín (entre Echeverria y Thedy),-32.926527,-60.672156,-32.926354,-60.665938
19,Av. Carballo (entre Bv. Avellaneda y Rawson),-32.921925,-60.674744,-32.921749,-60.670383
20,Av. Carballo (entre Rawson y Thedy),-32.921749,-60.670383,-32.922938,-60.666226
21,Av. Arijón (entre Av. San Martín y Av. Argentina),-33.00282,-60.649228,-33.002095,-60.625163
22,Av. Uriburu (entre Av. Ovidio Lagos y Ayacucho),-32.991363,-60.673379,-32.990218,-60.63693
23,Buenos Aires (entre Av. Uriburu y E. de Luca),-32.990447,-60.643497,-32.994564,-60.644569
24,E. de Luca (entre Buenos Aires y Bermúdez),-32.994591,-60.644545,-32.994546,-60.642901
25,Bermúdez (entre E. de Luca y Arijón),-32.994564,-60.642858,-33.002575,-60.642482
26,Av. San Martín (entre Rueda y Ayolas),-32.971254,-60.642821,-32.976834,-60.644247
27,Av. Ovidio Lagos (entre Battle y Ordoñez y Camino Viejo a Soldini),-33.009829,-60.677352,-33.025693,-60.681021
28,Camino de los Granaderos (entre Palestina y Boedo),-32.885975,-60.709935,-32.891971,-60.706593
29,Boedo (entre Godoy Cruz y Baigorria),-32.891971,-60.706593,-32.893791,-60.706454
30,Bv. Oroño (entre Av. Pellegrini y Av. Uriburu),-32.954871,-60.656163,-32.991601,-60.665474
31,Bv. Oroño (entre Av. Uriburu y Battle y Ordoñez),-32.991601,-60.665474,-33.009134,-60.664753
32,Av. Sabín (entre Génova y Almafuerte),-32.915378,-60.692002,-32.917481,-60.690972
33,Av. Sabín (entre Almafuerte y Velez Zarsfield),-32.917481,-60.690972,-32.925032,-60.682201
34,Av. Rouillon (entre Av. Pres. Perón y Bv. Seguí),-32.970569,-60.701141,-32.962845,-60.701424
35,Vera Mujica (entre Santa Fe y Rioja),-32.939954,-60.666527,-32.94245,-60.667223
36,Caferata (entre Santa Fe y San Luis),-32.939209,-60.670632,-32.943172,-60.671632
37,San Luis (entre Caferata y Bv. Oroño),-32.943185,-60.67163,-32.946332,-60.654097
38,San Luis (entre Corrientes y Alem),-32.948278,-60.643014,-32.950809,-60.629007
39,Rioja (entre Vera Mujica y Bv. Oroño),-32.942468,-60.667226,-32.944818,-60.653728
40,Catamarca (entre Bv. Oroño y San Martín),-32.937941,-60.651742,-32.940969,-60.63529
41,Rioja (entre Corrientes y Buenos Aires),-32.946798,-60.642641,-32.948769,-60.633036
45,Av. Belgrano (de Rioja a Pellegrini),-32.953621,-60.624166,-32.955953,-60.622567
49,Rambla,-32.892737,-60.685427,-32.884314,-60.687739
50,Florida,-32.884314,-60.687739,-32.877338,-60.687766
51,Costa Alta,-32.877338,-60.687766,-32.872625,-60.689193
54,"Av. Belgrano 1166-1612, Rosario, Santa Fe, Argentina",-32.953368145799324,-60.624661445617676,-32.955798844567745,-60.62275171279907
55,"Av. Belgrano 1133-1615, Rosario, Santa Fe, Argentina",-32.95590687407253,-60.62273025512695,-32.9606780454837,-60.62112092971802
56,"Av. San Martín 5723, S2011JQG Rosario, Santa Fe, Argentina",-33.00305734739501,-60.649305495691465,-32.97954979320769,-60.64429437880426
57,Av. San Martín (entre Bv. Segui y Av. Arijón),-32.979578,-60.644373,-33.002999,-60.649352
58,Av. Belgrano (de Rioja a Pellegrini),-32.94998,-60.62811,-32.952172,-60.626988
59,Av. Belgrano (de Rioja a Pellegrini),-32.952172,-60.626988,-32.953621,-60.624166
60,Av. Belgrano (de Rioja a Pellegrini),-32.955953,-60.622567,-32.960607,-60.620925
61,Av. de la Costa (de Av. Francia a Dorrego),-32.925427,-60.661166,-32.930732,-60.650055
62,Av. de la Costa (de Av. Francia a Dorrego),-32.930732,-60.650055,-32.933577,-60.646439
